Wall time,Step,Value
1677904159.9403977,0,196.6666717529297
1677905993.358476,7394,386.6666564941406
1677907784.4255714,14344,310.0
1677909590.3221183,21282,223.3333282470703
1677911443.347387,28160,296.6666564941406
1677913335.7699769,35498,263.3333435058594
1677915204.416464,42366,273.3333435058594
1677917136.449902,49656,276.6666564941406
1677919089.795954,57276,383.3333435058594
1677921039.4245133,64666,236.6666717529297
1677923025.818888,72634,316.6666564941406
1677925033.0910742,81166,443.3333435058594
1677927001.328938,89002,333.3333435058594
1677929060.7856474,98002,423.3333435058594
1677931113.3701591,105956,436.6666564941406
1677933164.53727,114808,590.0
1677935225.6602461,123254,550.0
1677937287.9019217,133442,403.3333435058594
1677939319.503056,143478,720.0
1677941325.9076686,152954,636.6666870117188
1677943403.6258817,162912,1013.3333129882812
1677945517.7011871,174294,866.6666870117188
1677947604.8563812,186550,560.0
1677949720.4495783,198682,670.0
1677951812.7315917,211650,330.0
1677953918.5767612,225472,800.0
1677956008.9183912,238722,540.0
1677958141.935708,253618,616.6666870117188
1677960286.8583446,267624,933.3333129882812
1677962413.8036082,282648,703.3333129882812
1677964588.4103863,298024,866.6666870117188
1677966769.1304202,312842,633.3333129882812
1677968924.8548713,327670,786.6666870117188
1677971082.8093853,342482,686.6666870117188
1677973220.2209945,356980,766.6666870117188
1677975387.447818,371802,910.0
1677977523.216627,386670,953.3333129882812
1677979746.0547516,401676,516.6666870117188
1677981960.062946,417166,1010.0
1677984170.0266001,432432,1080.0
